id,symbol,name,price,market_cap,volume
bitcoin,btc,Bitcoin,70130.0,1402816150312,45054852972
ethereum,eth,Ethereum,2140.3,258315889585,24232350566
tether,usdt,Tether,1.0,184111395602,77058364323
ripple,xrp,XRP,1.45,88698953450,2582125812
binancecoin,bnb,BNB,639.98,87259302413,1078600459
usd-coin,usdc,USDC,0.999934,79241697250,10587324577
solana,sol,Solana,88.63,50611938834,3532383408
tron,trx,TRON,0.304116,28811592904,558527881
figure-heloc,figr_heloc,Figure Heloc,1.02,16153121554,49970911
dogecoin,doge,Dogecoin,0.09319,14300842182,947765199
